Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,8.200E-01,Trigger Level,8.200E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,5.000E+00,Vertical Scale,5.000E+00,
Vertical Position,0.000E+00,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-01,Horizontal Scale,5.000E-01,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,Horizontal Mode,Roll Mode,
Display Last Dot Address,10000,Display Last Dot Address,10000,
Waveform Last Dot Address,0,Waveform Last Dot Address,0,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000E-04,Sampling Period,5.000E-04,
Horizontal Old Scale,5.000E-01,Horizontal Old Scale,5.000E-01,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-2.500000e+00,-25.599999,-2.500000e+00,-25.599999,
-2.499500e+00,-25.599999,-2.499500e+00,-25.599999,
-2.499000e+00,-25.599999,-2.499000e+00,-25.599999,
-2.498500e+00,-25.599999,-2.498500e+00,-25.599999,
-2.498000e+00,-25.599999,-2.498000e+00,-25.599999,
-2.497500e+00,-25.599999,-2.497500e+00,-25.599999,
-2.497000e+00,-25.599999,-2.497000e+00,-25.599999,
-2.496500e+00,-25.599999,-2.496500e+00,-25.599999,
-2.496000e+00,-25.599999,-2.496000e+00,-25.599999,
-2.495500e+00,-25.599999,-2.495500e+00,-25.599999,
-2.495000e+00,-25.599999,-2.495000e+00,-25.599999,
-2.494500e+00,-25.599999,-2.494500e+00,-25.599999,
-2.494000e+00,-25.599999,-2.494000e+00,-25.599999,
-2.493500e+00,-25.599999,-2.493500e+00,-25.599999,
-2.493000e+00,-25.599999,-2.493000e+00,-25.599999,
-2.492500e+00,-25.599999,-2.492500e+00,-25.599999,
-2.492000e+00,-25.599999,-2.492000e+00,-25.599999,
-2.491500e+00,-25.599999,-2.491500e+00,-25.599999,
-2.491000e+00,-25.599999,-2.491000e+00,-25.599999,
-2.490500e+00,-25.599999,-2.490500e+00,-25.599999,
-2.490000e+00,-25.599999,-2.490000e+00,-25.599999,
-2.489500e+00,-25.599999,-2.489500e+00,-25.599999,
-2.489000e+00,-25.599999,-2.489000e+00,-25.599999,
-2.488500e+00,-25.599999,-2.488500e+00,-25.599999,
-2.488000e+00,-25.599999,-2.488000e+00,-25.599999,
-2.487500e+00,-25.599999,-2.487500e+00,-25.599999,
-2.487000e+00,-25.599999,-2.487000e+00,-25.599999,
-2.486500e+00,-25.599999,-2.486500e+00,-25.599999,
-2.486000e+00,-25.599999,-2.486000e+00,-25.599999,
-2.485500e+00,-25.599999,-2.485500e+00,-25.599999,
-2.485000e+00,-25.599999,-2.485000e+00,-25.599999,
-2.484500e+00,-25.599999,-2.484500e+00,-25.599999,
-2.484000e+00,-25.599999,-2.484000e+00,-25.599999,
-2.483500e+00,-25.599999,-2.483500e+00,-25.599999,
-2.483000e+00,-25.599999,-2.483000e+00,-25.599999,
-2.482500e+00,-25.599999,-2.482500e+00,-25.599999,
-2.482000e+00,-25.599999,-2.482000e+00,-25.599999,
-2.481500e+00,-25.599999,-2.481500e+00,-25.599999,
-2.481000e+00,-25.599999,-2.481000e+00,-25.599999,
-2.480500e+00,-25.599999,-2.480500e+00,-25.599999,
-2.480000e+00,-25.599999,-2.480000e+00,-25.599999,
-2.479500e+00,-25.599999,-2.479500e+00,-25.599999,
-2.479000e+00,-25.599999,-2.479000e+00,-25.599999,
-2.478500e+00,-25.599999,-2.478500e+00,-25.599999,
-2.478000e+00,-25.599999,-2.478000e+00,-25.599999,
-2.477500e+00,-25.599999,-2.477500e+00,-25.599999,
-2.477000e+00,-25.599999,-2.477000e+00,-25.599999,
-2.476500e+00,-25.599999,-2.476500e+00,-25.599999,
-2.476000e+00,-25.599999,-2.476000e+00,-25.599999,
-2.475500e+00,-25.599999,-2.475500e+00,-25.599999,
-2.475000e+00,-25.599999,-2.475000e+00,-25.599999,
-2.474500e+00,-25.599999,-2.474500e+00,-25.599999,
-2.474000e+00,-25.599999,-2.474000e+00,-25.599999,
-2.473500e+00,-25.599999,-2.473500e+00,-25.599999,
-2.473000e+00,-25.599999,-2.473000e+00,-25.599999,
-2.472500e+00,-25.599999,-2.472500e+00,-25.599999,
-2.472000e+00,-25.599999,-2.472000e+00,-25.599999,
-2.471500e+00,-25.599999,-2.471500e+00,-25.599999,
-2.471000e+00,-25.599999,-2.471000e+00,-25.599999,
-2.470500e+00,-25.599999,-2.470500e+00,-25.599999,
-2.470000e+00,-25.599999,-2.470000e+00,-25.599999,
-2.469500e+00,-25.599999,-2.469500e+00,-25.599999,
-2.469000e+00,-25.599999,-2.469000e+00,-25.599999,
-2.468500e+00,-25.599999,-2.468500e+00,-25.599999,
-2.468000e+00,-25.599999,-2.468000e+00,-25.599999,
-2.467500e+00,-25.599999,-2.467500e+00,-25.599999,
-2.467000e+00,-25.599999,-2.467000e+00,-25.599999,
-2.466500e+00,-25.599999,-2.466500e+00,-25.599999,
-2.466000e+00,-25.599999,-2.466000e+00,-25.599999,
-2.465500e+00,-25.599999,-2.465500e+00,-25.599999,
-2.465000e+00,-25.599999,-2.465000e+00,-25.599999,
-2.464500e+00,-25.599999,-2.464500e+00,-25.599999,
-2.464000e+00,-25.599999,-2.464000e+00,-25.599999,
-2.463500e+00,-25.599999,-2.463500e+00,-25.599999,
-2.463000e+00,-25.599999,-2.463000e+00,-25.599999,
-2.462500e+00,-25.599999,-2.462500e+00,-25.599999,
-2.462000e+00,-25.599999,-2.462000e+00,-25.599999,
